MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
375605000,2025-09-05T15:39:40,18.25451770399382,-64.975924752787,0,0,0.03461712543955461,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:40,18.23295627556844,-64.98231390777077,0,0,2.0927968874020366,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:40,18.257965239528925,-64.97746307867213,0,0,-1.8096302940742202,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:41,18.254518084343818,-64.97591179702938,0,0,0.03506228438921621,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:41,18.232967026858237,-64.98232042497068,0,0,2.0933877988528753,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:41,18.257953189587855,-64.97746602078456,0,0,-1.809827441066303,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:42,18.254518337054254,-64.9759031531197,0,0,0.035912288215925,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:42,18.232974187706418,-64.982324795608,0,0,2.0940735325703637,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:42,18.257945106389446,-64.97746808304976,0,0,-1.8096473536311284,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:43,18.25451872020812,-64.9758901908382,0,0,0.03644305036644542,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:43,18.232985019879525,-64.98233117889066,0,0,2.09417544097825,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:43,18.257932988410776,-64.97747119040251,0,0,-1.8091759234339402,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:44,18.254518938053668,-64.97588297257128,0,0,0.03699012048982691,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:44,18.232991039139165,-64.98233475942723,0,0,2.093793811738018,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:44,18.257926297406705,-64.97747279778821,0,0,-1.8077545499218226,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:45,18.254519387386104,-64.975868523705,0,0,0.03713672131248974,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:45,18.233002948442373,-64.98234217504354,0,0,2.093375729554944,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:45,18.257912840040824,-64.97747630692535,0,0,-1.8067231892945077,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:46,18.254519667745996,-64.97585981226392,0,0,0.037043433789921955,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
